epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,137.012,0.31346,0.27718,0.8781,0.94908,0.95761,0.9527,0.91253,0.31562,0.47262,0.86665,0.00028475,0.00028475,0.00028475
80,138.564,0.28851,0.26414,0.84771,0.94962,0.95773,0.95568,0.91169,0.3193,0.47117,0.86971,0.000272375,0.000272375,0.000272375
81,140.107,0.27859,0.25761,0.86378,0.94966,0.95797,0.95812,0.91612,0.31365,0.45964,0.86938,0.00026,0.00026,0.00026
82,141.625,0.28438,0.25979,0.8613,0.9486,0.95927,0.95902,0.91489,0.30457,0.44034,0.86702,0.000247625,0.000247625,0.000247625
83,143.191,0.29481,0.27507,0.85337,0.95027,0.96151,0.96095,0.91791,0.30356,0.42695,0.86608,0.00023525,0.00023525,0.00023525
84,144.739,0.29405,0.271,0.87228,0.95176,0.96183,0.95966,0.91681,0.30797,0.42544,0.87312,0.000222875,0.000222875,0.000222875
85,146.49,0.29635,0.26482,0.87105,0.94046,0.96354,0.96462,0.91678,0.31339,0.417,0.87893,0.0002105,0.0002105,0.0002105
86,148.508,0.2835,0.24935,0.85648,0.90084,0.969,0.96437,0.9128,0.32225,0.42323,0.88827,0.000198125,0.000198125,0.000198125
87,150.454,0.28058,0.24665,0.86397,0.89292,0.97285,0.96769,0.91867,0.32909,0.42358,0.89596,0.00018575,0.00018575,0.00018575
88,152.004,0.27067,0.2515,0.84885,0.88851,0.9756,0.96687,0.9163,0.33079,0.42503,0.89507,0.000173375,0.000173375,0.000173375
89,153.574,0.2939,0.26504,0.86501,0.89123,0.97454,0.9667,0.92098,0.32696,0.41679,0.88987,0.000161,0.000161,0.000161
90,155.139,0.28357,0.26261,0.86827,0.89687,0.97223,0.96527,0.92143,0.31558,0.40927,0.88162,0.000148625,0.000148625,0.000148625
91,158.744,0.18871,0.19575,0.79709,0.90147,0.97036,0.96527,0.92127,0.30729,0.40648,0.87445,0.00013625,0.00013625,0.00013625
92,161.141,0.20115,0.22069,0.79152,0.90743,0.96891,0.96497,0.91881,0.30142,0.40418,0.86833,0.000123875,0.000123875,0.000123875
93,163.102,0.17849,0.187,0.78342,0.91561,0.96398,0.96627,0.92199,0.29847,0.40745,0.86551,0.0001115,0.0001115,0.0001115
94,164.638,0.18554,0.19152,0.7754,0.92825,0.96316,0.96438,0.92105,0.29341,0.39963,0.86227,9.9125e-05,9.9125e-05,9.9125e-05
95,166.219,0.1791,0.1849,0.77573,0.93737,0.96562,0.96438,0.92264,0.29258,0.39471,0.86278,8.675e-05,8.675e-05,8.675e-05
96,167.737,0.17116,0.1755,0.78373,0.94599,0.96344,0.96428,0.9187,0.29787,0.3817,0.86732,7.4375e-05,7.4375e-05,7.4375e-05
97,169.366,0.1706,0.17009,0.76844,0.94948,0.96241,0.96865,0.92336,0.30005,0.36877,0.87102,6.2e-05,6.2e-05,6.2e-05
98,170.888,0.16194,0.16922,0.76394,0.95096,0.96189,0.97034,0.92772,0.3003,0.35966,0.87181,4.9625e-05,4.9625e-05,4.9625e-05
99,172.468,0.18439,0.17914,0.7819,0.95182,0.96179,0.97063,0.92545,0.29542,0.35338,0.87092,3.725e-05,3.725e-05,3.725e-05
100,174.746,0.17722,0.17814,0.77523,0.95242,0.96162,0.96909,0.9271,0.2961,0.34926,0.87179,2.4875e-05,2.4875e-05,2.4875e-05
